Iteration,Train Loss,Test Loss
2000.0,3.323302,3.2865245
4000.0,2.87873,3.0507812
6000.0,2.6370091,2.9658172
8000.0,2.8013003,2.9546766
10000.0,2.8056653,2.7459283
12000.0,2.6587193,2.6181908
14000.0,2.5562954,2.650989
16000.0,2.7019155,2.5551898
18000.0,2.1280143,2.2994182
20000.0,2.162873,2.2981021
22000.0,1.9915394,2.153542
24000.0,2.0695107,2.4283826
26000.0,2.5073726,2.1525714
28000.0,2.0986295,2.0387568
30000.0,2.1120784,2.204433
32000.0,1.9004681,1.9662987
34000.0,2.0554771,1.9972657
36000.0,1.6741761,1.8011509
38000.0,1.9039482,1.9195384
40000.0,1.9898205,1.5590347
42000.0,2.1172037,1.702772
44000.0,1.9315327,1.8266865
46000.0,1.7329848,1.7137371
48000.0,1.8031733,1.6250622
50000.0,1.6601696,1.5931801
52000.0,1.7552239,1.793766
54000.0,1.4685347,1.4938183
56000.0,1.6358922,1.5363615
58000.0,1.4531417,1.8413448
60000.0,1.8152283,1.6243734
62000.0,1.7504987,1.6991371
64000.0,1.6020066,1.6229047
66000.0,1.8612295,1.7775697
68000.0,1.6733305,1.434534
70000.0,1.5703579,1.6455145
72000.0,1.6676949,1.4128741
74000.0,1.5405141,1.4363474
76000.0,1.3337593,1.3120873
78000.0,1.4560025,1.6682905
80000.0,1.4019886,1.642565
82000.0,1.7139103,1.7637398
84000.0,1.6346325,1.4013706
86000.0,1.65842,1.3876351
88000.0,1.5746523,1.6139628
90000.0,1.6462601,1.566062
92000.0,1.4472241,1.5764214
94000.0,1.4576896,1.5389508
96000.0,1.7767025,1.4247665
98000.0,1.6243275,1.4630244
100000.0,1.3694067,1.5207328
102000.0,1.5841868,1.5611404
104000.0,1.7893028,1.7683934
106000.0,1.8459171,1.5445299
108000.0,1.3228639,1.5744644
110000.0,1.3321968,1.8320599
112000.0,1.6711098,1.6344408
114000.0,1.1708654,1.4895166
116000.0,1.3919734,1.523187
118000.0,1.5719703,1.6307892
120000.0,1.5553396,1.4556999
122000.0,1.4688667,1.723823
124000.0,1.6620773,1.4075279
126000.0,1.667997,1.4055021
128000.0,1.4317826,1.5200086
130000.0,1.7830426,1.4864947
132000.0,1.6066744,1.434763
134000.0,1.4334095,1.2048655
136000.0,1.3983513,1.4933828
138000.0,1.3161151,1.2839793
140000.0,1.188549,1.7208538
142000.0,1.5295889,1.4052464
144000.0,1.5656046,1.3406914
146000.0,1.4803866,1.3529814
148000.0,1.3848755,1.5783317
150000.0,1.6230019,1.3782417
152000.0,1.6039988,1.3736876
154000.0,1.3517303,1.4210241
156000.0,1.4531921,1.4873444
158000.0,1.5106826,1.2871605
160000.0,1.6132401,1.4255309
162000.0,1.478325,1.5623165
164000.0,1.2480005,1.6894745
166000.0,1.2315588,1.4177884
168000.0,1.6173639,1.1448405
170000.0,1.1805798,1.430109
172000.0,1.2746631,1.2008423
174000.0,1.4478506,1.6785746
176000.0,1.0618607,1.4088488
178000.0,1.413428,1.366609
180000.0,1.3101841,1.5842077
182000.0,1.372755,1.6390141
184000.0,1.4339441,1.5792543
186000.0,1.336009,1.6742283
188000.0,1.1751084,1.9398686
190000.0,1.2844019,1.2590878
192000.0,1.1757549,1.4115047
194000.0,1.0340215,1.3332119
196000.0,1.4414713,1.6168015
198000.0,1.190007,1.1858634
200000.0,1.6378559,1.3860769
202000.0,1.3218591,1.4952271
204000.0,1.2406012,1.3033394
206000.0,1.2393054,1.6006726
208000.0,1.5351464,1.5514584
210000.0,1.4916788,1.4698881
212000.0,1.3779172,1.751013
214000.0,1.4070057,1.3418072
216000.0,1.3662283,1.3558047
218000.0,1.7809088,1.3659319
220000.0,1.2653198,1.2170625
222000.0,1.1077929,1.4262998
224000.0,1.5512835,1.5545492
226000.0,1.4436682,1.4416338
228000.0,1.5086707,1.4016796
230000.0,1.2361789,1.433043
232000.0,1.4356209,1.3432854
234000.0,1.2021115,1.5010899
236000.0,1.3528178,1.1930746
238000.0,1.3836226,1.2264357
240000.0,1.5796279,1.3793367
242000.0,1.3682171,1.5284909
244000.0,1.3875664,1.0971531
246000.0,1.628026,1.470074
248000.0,1.3350985,1.2272232
250000.0,1.4010961,1.2711855
252000.0,1.1133797,1.3775548
254000.0,1.4286627,1.2596489
256000.0,1.5751747,1.6276587
258000.0,1.332374,1.480525
260000.0,1.3809949,1.4953308
262000.0,1.0433611,1.1234356
264000.0,1.3755974,1.2093147
266000.0,1.2486463,1.3995231
268000.0,1.4166873,1.6859385
270000.0,1.429613,1.3984889
272000.0,1.2165943,1.2396276
274000.0,1.5046809,1.1125518
