Iteration,Train Loss,Test Loss
10000.0,7.563005,8.302989
20000.0,6.3852334,6.0467896
30000.0,5.0728345,5.4270635
40000.0,4.926211,4.8367496
50000.0,4.61438,4.7815166
60000.0,4.2986526,4.0677924
70000.0,4.100255,4.204534
80000.0,3.8870556,3.973486
90000.0,4.121256,4.0491557
100000.0,3.7063704,4.243393
110000.0,3.4787483,3.4440553
120000.0,3.4890072,3.6784933
130000.0,3.448157,3.540617
140000.0,3.3280857,3.4051883
150000.0,3.145533,3.0125399
160000.0,3.186756,3.0675735
170000.0,2.8004947,2.7632055
180000.0,2.973451,3.0915391
190000.0,2.8638682,3.0777185
200000.0,3.0170586,2.9000497
210000.0,2.815982,2.991778
220000.0,2.982828,2.8013701
230000.0,2.5958567,2.8937085
240000.0,2.6729808,2.9571874
250000.0,2.8622868,2.6215868
260000.0,2.7973833,2.7019908
270000.0,2.4710383,2.7622027
280000.0,2.7260175,2.8446465
290000.0,2.6394124,2.5427158
300000.0,2.3531055,2.7188714
310000.0,2.5564194,2.4705582
320000.0,2.4784458,2.7089825
330000.0,2.3488564,2.5703392
340000.0,2.436358,2.4607673
350000.0,2.4032207,2.514432
360000.0,2.2953246,2.504413
370000.0,2.285072,2.650613
380000.0,2.1978388,2.336236
390000.0,2.2497144,2.4265292
400000.0,2.2610269,2.3732295
410000.0,2.1165614,2.2592561
420000.0,2.2280867,2.234734
430000.0,2.0270035,2.3761852
440000.0,2.1614587,2.3030658
450000.0,2.3323348,2.1388423
460000.0,2.155704,2.3160617
470000.0,2.076635,2.1965013
480000.0,2.0771728,2.3164077
490000.0,2.0585415,2.2500002
500000.0,1.9992061,2.2818289
510000.0,2.0717084,2.4658418
520000.0,2.0219824,2.2456467
530000.0,2.1099832,2.0873723
540000.0,1.9638253,2.3760147
550000.0,1.9747883,2.1401122
560000.0,2.0127785,2.0220482
570000.0,1.8957536,2.2013824
580000.0,1.9242496,2.0705805
590000.0,1.9834671,2.099736
600000.0,2.07526,1.9668651
610000.0,1.9829769,2.2384758
620000.0,1.9530302,2.1609945
630000.0,1.932684,2.1057153
640000.0,2.0754442,1.9533948
650000.0,2.0456707,2.1026285
660000.0,2.0101264,2.1733072
670000.0,1.9517666,1.7832822
680000.0,1.8516314,2.0307174
690000.0,1.9160812,2.087509
700000.0,1.8292927,1.8708433
710000.0,1.830595,1.9633901
720000.0,1.8289125,1.8874991
730000.0,1.9583671,1.8898101
740000.0,1.918362,1.8775011
750000.0,1.6731335,1.825851
760000.0,1.7731248,1.9264233
770000.0,1.7917442,1.8619982
780000.0,1.8485531,1.8500178
